   189/499     10.8G   0.03027   0.08748   0.00545    0.1232       209      1376    0.6057    0.5524    0.5494    0.3263   0.03963     0.404   0.02491
   190/499     10.8G   0.03041     0.088  0.005509    0.1239       196      1376    0.6014    0.5559    0.5491    0.3263   0.03962     0.404   0.02491
   191/499     10.8G   0.03006   0.08729  0.005463    0.1228       201      1376     0.607    0.5515     0.549    0.3264   0.03962     0.404    0.0249
   192/499     10.8G   0.03018   0.08586  0.005467    0.1215       424      1376    0.6287    0.5357    0.5491    0.3263   0.03962    0.4041    0.0249
   193/499     10.8G   0.03006   0.08677  0.005441    0.1223       192      1376    0.6078    0.5514    0.5495    0.3266   0.03961    0.4041   0.02489
   194/499     10.8G    0.0301   0.08693  0.005453    0.1225       199      1376    0.6064    0.5527    0.5495    0.3265   0.03961    0.4041   0.02488
   195/499     10.8G    0.0301   0.08605    0.0054    0.1215       249      1376    0.6072    0.5525    0.5499    0.3267    0.0396    0.4042   0.02487
   196/499     10.8G   0.03014   0.08641  0.005394    0.1219       439      1376    0.6014    0.5572    0.5501    0.3269    0.0396    0.4042   0.02486
   197/499     10.8G   0.03002   0.08483  0.005327    0.1202       167      1376    0.6055    0.5543    0.5501     0.327   0.03959    0.4043   0.02486
   198/499     10.8G   0.02998   0.08678  0.005359    0.1221       218      1376    0.6059    0.5537    0.5506    0.3271   0.03959    0.4045   0.02485
   199/499     10.8G   0.03003   0.08493  0.005341    0.1203        59      1376    0.6036    0.5556    0.5506    0.3271   0.03959    0.4046   0.02485
   200/499     10.8G   0.03005    0.0859  0.005376    0.1213       223      1376    0.5985    0.5598    0.5507    0.3272   0.03958    0.4047   0.02483
